Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Customer City,Customer Country,Customer Zipcode,Latitude,Longitude,Market,Order City,Order Country,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,order_date,order_time,shipping_date,shipping_time,processing_time,shipment_status,order city latitude,order city longitude,distance,multiplier,approx_time,transit_time,effective_delivery_time
4,4,Shipping on time,0,Lilburn,EE. UU.,30047.0,33.90219879,-84.15373993,Pacific Asia,Ujjain,India,South Asia,Madhya Pradesh,COMPLETE,Smart watch ,327.75,Standard Class,2018-01-12,15:05:00,2018-01-16,15:05:00,4,Delayed,23.17,75.79,13323.604481196093,1.0,13323.6045,4,8
4,4,Shipping on time,0,Bronx,EE. UU.,10458.0,40.86618042,-73.87023926,Pacific Asia,Pune,India,South Asia,Maharashtra,PROCESSING,Smart watch ,327.75,Standard Class,2018-01-12,13:20:00,2018-01-16,13:20:00,4,Delayed,18.5203,73.8567,12618.655815335733,1.0,12618.6558,3,7
3,4,Advance shipping,0,Caguas,Puerto Rico,725.0,18.27690888,-66.03705597,Pacific Asia,Pune,India,South Asia,Maharashtra,PENDING,Smart watch ,327.75,Standard Class,2018-01-12,12:59:00,2018-01-15,12:59:00,3,On time,18.5203,73.8567,14020.433827410776,1.0,14020.4338,4,7
2,1,Late delivery,1,Provo,EE. UU.,84604.0,40.3957901,-111.5488815,Pacific Asia,Pune,India,South Asia,Maharashtra,COMPLETE,Smart watch ,327.75,First Class,2018-01-12,12:38:00,2018-01-14,12:38:00,2,On time,18.5203,73.8567,13440.052264706464,0.5,6720.0261,2,4
2,1,Late delivery,1,Columbia,EE. UU.,38401.0,35.56920242,-87.08045197,Pacific Asia,Pune,India,South Asia,Maharashtra,COMPLETE,Smart watch ,327.75,First Class,2018-01-12,12:17:00,2018-01-14,12:17:00,2,On time,18.5203,73.8567,13673.82382499532,0.5,6836.9119,2,4
2,1,Late delivery,1,Caguas,Puerto Rico,725.0,18.25554657,-66.03705597,Pacific Asia,Pune,India,South Asia,Maharashtra,COMPLETE,Smart watch ,327.75,First Class,2018-01-12,11:56:00,2018-01-14,11:56:00,2,On time,18.5203,73.8567,14021.988782063569,0.5,7010.9944,2,4
6,4,Late delivery,1,Lockport,EE. UU.,14094.0,43.16891098,-78.69216156,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Smart watch ,327.75,Standard Class,2018-01-12,05:16:00,2018-01-18,05:16:00,6,Delayed,12.9789,77.5917,13321.582706806734,1.0,13321.5827,4,10
5,4,Late delivery,1,Caguas,Puerto Rico,725.0,18.20433235,-66.03705597,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Smart watch ,327.75,Standard Class,2018-01-12,04:55:00,2018-01-17,04:55:00,5,Delayed,12.9789,77.5917,14729.83169776848,1.0,14729.8317,4,9
4,2,Late delivery,1,Saint Charles,EE. UU.,63301.0,38.77838135,-90.50777435,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Smart watch ,327.75,Second Class,2018-01-12,04:34:00,2018-01-16,04:34:00,4,Delayed,12.9789,77.5917,14128.553949969282,0.8,11302.8432,3,7
3,2,Shipping canceled,0,Los Angeles,EE. UU.,90046.0,34.09960938,-118.3507385,Pacific Asia,Bangalore,India,South Asia,Karnataka,SUSPECTED_FRAUD,Smart watch ,327.75,Second Class,2018-01-12,04:13:00,2018-01-15,04:13:00,3,On time,12.9789,77.5917,14515.231313962728,0.8,11612.1851,3,6
2,4,Advance shipping,0,Cupertino,EE. UU.,95014.0,37.32138825,-122.0307388,Pacific Asia,Bangalore,India,South Asia,Karnataka,PROCESSING,Smart watch ,327.75,Standard Class,2018-01-12,03:52:00,2018-01-14,03:52:00,2,On time,12.9789,77.5917,14057.744044632984,1.0,14057.744,4,6
6,2,Late delivery,1,Caguas,Puerto Rico,725.0,18.28867149,-66.0370636,Pacific Asia,Rajkot,India,South Asia,Guyarat,COMPLETE,Smart watch ,327.75,Second Class,2018-01-12,00:01:00,2018-01-18,00:01:00,6,Delayed,22.3,70.7833,13502.869309684598,0.8,10802.2954,3,9
5,2,Late delivery,1,Peoria,EE. UU.,85345.0,33.57873154,-112.266098,Pacific Asia,Rajkot,India,South Asia,Guyarat,PENDING_PAYMENT,Smart watch ,327.75,Second Class,2018-01-11,23:40:00,2018-01-16,23:40:00,5,Delayed,22.3,70.7833,13793.259529180796,0.8,11034.6076,3,8
2,1,Late delivery,1,Caguas,Puerto Rico,725.0,18.20901108,-66.03705597,Pacific Asia,Rajkot,India,South Asia,Guyarat,COMPLETE,Smart watch ,327.75,First Class,2018-01-11,23:19:00,2018-01-13,23:19:00,2,On time,22.3,70.7833,13508.80485604863,0.5,6754.4024,2,4
2,1,Late delivery,1,Garden Grove,EE. UU.,92843.0,33.76652145,-117.9461899,Pacific Asia,Rajkot,India,South Asia,Guyarat,CLOSED,Smart watch ,327.75,First Class,2018-01-11,22:58:00,2018-01-13,22:58:00,2,On time,22.3,70.7833,13712.601979438576,0.5,6856.301,2,4
2,1,Late delivery,1,Caguas,Puerto Rico,725.0,18.29984283,-66.03705597,Pacific Asia,Gorakhpur,India,South Asia,Haryana,PENDING_PAYMENT,Smart watch ,327.75,First Class,2018-01-11,22:37:00,2018-01-13,22:37:00,2,On time,26.7637,83.4039,14016.815869458364,0.5,7008.4079,2,4
2,1,Late delivery,1,Caguas,Puerto Rico,725.0,18.29984283,-66.03705597,Pacific Asia,Gorakhpur,India,South Asia,Haryana,PENDING_PAYMENT,Smart watch ,327.75,First Class,2018-01-11,22:37:00,2018-01-13,22:37:00,2,On time,29.4467,75.6724,13303.406008322689,0.5,6651.703,2,4
3,4,Advance shipping,0,Granada Hills,EE. UU.,91344.0,34.07363892,-117.7083511,Pacific Asia,Nagpur,India,South Asia,Maharashtra,COMPLETE,Smart watch ,327.75,Standard Class,2018-01-11,19:28:00,2018-01-14,19:28:00,3,On time,21.1497,79.0806,13622.517576432068,1.0,13622.5176,4,7
2,4,Advance shipping,0,Caguas,Puerto Rico,725.0,18.25214958,-66.03705597,Pacific Asia,Nagpur,India,South Asia,Maharashtra,COMPLETE,Smart watch ,327.75,Standard Class,2018-01-11,19:07:00,2018-01-13,19:07:00,2,On time,21.1497,79.0806,14216.09591247834,1.0,14216.0959,4,6
1,0,Late delivery,1,Carson,EE. UU.,90745.0,33.83179474,-118.261322,Pacific Asia,Jaipur,India,South Asia,Rajastán,COMPLETE,Smart watch ,327.75,Same Day,2018-01-11,12:06:00,2018-01-12,00:06:00,1,On time,26.9,75.8,13101.030016199937,0.0,0.0,1,2
1,0,Late delivery,1,Carson,EE. UU.,90745.0,33.83179474,-118.261322,Pacific Asia,Jaipur,India,South Asia,Rajastán,COMPLETE,Smart watch ,327.75,Same Day,2018-01-11,12:06:00,2018-01-12,00:06:00,1,On time,23.4313,86.1493,13143.951082467043,0.0,0.0,1,2
6,4,Late delivery,1,Mesa,EE. UU.,85204.0,33.41001129,-111.7717972,Pacific Asia,Jaipur,India,South Asia,Rajastán,COMPLETE,Smart watch ,327.75,Standard Class,2018-01-11,11:45:00,2018-01-17,11:45:00,6,Delayed,26.9,75.8,13261.416113417305,1.0,13261.4161,4,10
6,4,Late delivery,1,Mesa,EE. UU.,85204.0,33.41001129,-111.7717972,Pacific Asia,Jaipur,India,South Asia,Rajastán,COMPLETE,Smart watch ,327.75,Standard Class,2018-01-11,11:45:00,2018-01-17,11:45:00,6,Delayed,23.4313,86.1493,13415.71268583308,1.0,13415.7127,4,10
4,4,Shipping on time,0,Honolulu,EE. UU.,96818.0,21.343153,-157.906601,Pacific Asia,Raipur,India,South Asia,Chhattisgarh,PROCESSING,Smart watch ,327.75,Standard Class,2018-01-11,11:03:00,2018-01-15,11:03:00,4,Delayed,21.2444,81.6306,12003.860630587254,1.0,12003.8606,3,7
4,4,Shipping on time,0,Honolulu,EE. UU.,96818.0,21.343153,-157.906601,Pacific Asia,Raipur,India,South Asia,Chhattisgarh,PROCESSING,Smart watch ,327.75,Standard Class,2018-01-11,11:03:00,2018-01-15,11:03:00,4,Delayed,26.05,74.02,12327.817354516365,1.0,12327.8174,3,7
4,4,Shipping on time,0,Honolulu,EE. UU.,96818.0,21.343153,-157.906601,Pacific Asia,Raipur,India,South Asia,Chhattisgarh,PROCESSING,Smart watch ,327.75,Standard Class,2018-01-11,11:03:00,2018-01-15,11:03:00,4,Delayed,25.4226,86.8498,11306.741143161864,1.0,11306.7411,3,7
3,2,Late delivery,1,Caguas,Puerto Rico,725.0,18.29124832,-66.37056732,Pacific Asia,Aurangabad,India,South Asia,Bihar,PENDING_PAYMENT,Glove It Urban Brick Golf Towel,15.98999977,Second Class,2016-02-17,23:35:00,2016-02-20,23:35:00,3,On time,19.88,75.32,14058.884849007398,0.8,11247.1079,3,6
3,2,Late delivery,1,Caguas,Puerto Rico,725.0,18.29124832,-66.37056732,Pacific Asia,Aurangabad,India,South Asia,Bihar,PENDING_PAYMENT,Glove It Urban Brick Golf Towel,15.98999977,Second Class,2016-02-17,23:35:00,2016-02-20,23:35:00,3,On time,24.7,84.35,14278.306344218345,0.8,11422.6451,3,6
3,2,Late delivery,1,Caguas,Puerto Rico,725.0,18.29124832,-66.37056732,Pacific Asia,Aurangabad,India,South Asia,Bihar,PENDING_PAYMENT,Glove It Urban Brick Golf Towel,15.98999977,Second Class,2016-02-17,23:35:00,2016-02-20,23:35:00,3,On time,27.894,77.369,13564.99749807884,0.8,10851.998,3,6
3,4,Shipping canceled,0,Caguas,Puerto Rico,725.0,18.20134735,-66.37060547,Pacific Asia,Hyderabad,India,South Asia,Telangana,CANCELED,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class,2016-02-09,22:54:00,2016-02-12,22:54:00,3,On time,17.3617,78.4747,14499.628618958435,1.0,14499.6286,4,7
3,4,Advance shipping,0,Caguas,Puerto Rico,725.0,18.20371819,-66.37052155,Pacific Asia,Jaipur,India,South Asia,Rajastán,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2015-11-06,08:09:00,2015-11-09,08:09:00,3,On time,26.9,75.8,13549.760718819229,1.0,13549.7607,4,7
3,4,Advance shipping,0,Caguas,Puerto Rico,725.0,18.20371819,-66.37052155,Pacific Asia,Jaipur,India,South Asia,Rajastán,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2015-11-06,08:09:00,2015-11-09,08:09:00,3,On time,23.4313,86.1493,14507.58813310154,1.0,14507.5881,4,7
5,4,Late delivery,1,Baltimore,EE. UU.,21218.0,39.32117081,-76.61475372,Pacific Asia,Vijayawada,India,South Asia,Andhra Pradesh,COMPLETE,Children's heaters,357.1000061,Standard Class,2017-12-22,20:12:00,2017-12-27,20:12:00,5,Delayed,16.5193,80.6305,13371.187832385032,1.0,13371.1878,4,9
4,4,Shipping on time,0,Strongsville,EE. UU.,44136.0,41.3469696,-81.82631683,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2015-12-25,11:24:00,2015-12-29,11:24:00,4,Delayed,12.9789,77.5917,13615.190054599963,1.0,13615.1901,4,8
2,4,Advance shipping,0,Costa Mesa,EE. UU.,92627.0,33.64226151,-117.9133224,Pacific Asia,Thane,India,South Asia,Maharashtra,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2015-11-16,18:17:00,2015-11-18,18:17:00,2,On time,19.1972,72.9722,14027.2579831419,1.0,14027.258,4,6
6,4,Late delivery,1,Chicago,EE. UU.,60649.0,41.75909424,-87.56176758,Pacific Asia,Mumbai,India,South Asia,Maharashtra,COMPLETE,Men's gala suit,210.8500061,Standard Class,2017-11-23,17:36:00,2017-11-29,17:36:00,6,Delayed,19.0761,72.8775,12957.33227551752,1.0,12957.3323,4,10
2,4,Advance shipping,0,Glen Burnie,EE. UU.,21061.0,39.13689041,-76.62719727,Pacific Asia,Durgapur,India,South Asia,Bengala Occidental,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2016-01-28,02:15:00,2016-01-30,02:15:00,2,On time,23.55,87.32,12847.365891457952,1.0,12847.3659,3,5
2,4,Advance shipping,0,Costa Mesa,EE. UU.,92627.0,33.64226151,-117.9133224,Pacific Asia,Thane,India,South Asia,Maharashtra,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2015-11-16,18:17:00,2015-11-18,18:17:00,2,On time,19.1972,72.9722,14027.2579831419,1.0,14027.258,4,6
3,4,Advance shipping,0,Joliet,EE. UU.,60435.0,41.55160904,-88.12562561,Pacific Asia,Bhavnagar,India,South Asia,Guyarat,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2015-11-09,11:28:00,2015-11-12,11:28:00,3,On time,21.76,72.15,12687.5352678798,1.0,12687.5353,3,6
6,4,Late delivery,1,Brownsville,EE. UU.,78520.0,25.90687752,-97.49913788,Pacific Asia,Mumbai,India,South Asia,Maharashtra,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2016-01-01,15:46:00,2016-01-07,15:46:00,6,Delayed,19.0761,72.8775,14906.284539867873,1.0,14906.2845,4,10
5,4,Late delivery,1,Spring Valley,EE. UU.,10977.0,42.33480835,-74.93064117,Pacific Asia,Mangalore,India,South Asia,Karnataka,COMPLETE,Baby sweater,59.08000183,Standard Class,2017-12-19,01:06:00,2017-12-24,01:06:00,5,Delayed,12.8681,74.8425,13144.251247122857,1.0,13144.2512,4,9
6,4,Late delivery,1,Brownsville,EE. UU.,78520.0,25.90687752,-97.49913788,Pacific Asia,Mumbai,India,South Asia,Maharashtra,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,2016-01-01,15:46:00,2016-01-07,15:46:00,6,Delayed,19.0761,72.8775,14906.284539867873,1.0,14906.2845,4,10
4,4,Shipping on time,0,Milpitas,EE. UU.,95035.0,37.44713593,-121.9091797,Pacific Asia,Mangalore,India,South Asia,Karnataka,COMPLETE,Baby sweater,59.08000183,Standard Class,2017-12-19,00:45:00,2017-12-23,00:45:00,4,Delayed,12.8681,74.8425,14152.948145922885,1.0,14152.9481,4,8
4,4,Shipping on time,0,Woodbridge,EE. UU.,22193.0,37.16918945,-76.54801178,Pacific Asia,Ranchi,India,South Asia,Jharkhand,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class,2015-12-29,18:45:00,2016-01-02,18:45:00,4,Delayed,23.36,85.33,13021.987215965612,1.0,13021.9872,4,8
2,4,Advance shipping,0,Grand Prairie,EE. UU.,75052.0,32.6425972,-97.02174377,Pacific Asia,Belgaum,India,South Asia,Karnataka,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2015-11-03,18:29:00,2015-11-05,18:29:00,2,On time,15.85,74.5,14548.03439578704,1.0,14548.0344,4,6
6,4,Late delivery,1,West Covina,EE. UU.,91790.0,34.0700798,-117.9371948,Pacific Asia,Gorakhpur,India,South Asia,Haryana,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2016-03-03,06:14:00,2016-03-09,06:14:00,6,Delayed,26.7637,83.4039,12886.275548888076,1.0,12886.2755,3,9
6,4,Late delivery,1,West Covina,EE. UU.,91790.0,34.0700798,-117.9371948,Pacific Asia,Gorakhpur,India,South Asia,Haryana,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2016-03-03,06:14:00,2016-03-09,06:14:00,6,Delayed,29.4467,75.6724,12808.967780408078,1.0,12808.9678,3,9
3,4,Advance shipping,0,North Richland Hills,EE. UU.,76180.0,32.84292221,-97.22615814,Pacific Asia,Aurangabad,India,South Asia,Bihar,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2016-01-13,07:00:00,2016-01-16,07:00:00,3,On time,19.88,75.32,14099.277874788124,1.0,14099.2779,4,7
3,4,Advance shipping,0,North Richland Hills,EE. UU.,76180.0,32.84292221,-97.22615814,Pacific Asia,Aurangabad,India,South Asia,Bihar,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2016-01-13,07:00:00,2016-01-16,07:00:00,3,On time,24.7,84.35,13614.425502707192,1.0,13614.4255,4,7
3,4,Advance shipping,0,North Richland Hills,EE. UU.,76180.0,32.84292221,-97.22615814,Pacific Asia,Aurangabad,India,South Asia,Bihar,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,2016-01-13,07:00:00,2016-01-16,07:00:00,3,On time,27.894,77.369,13237.36493645114,1.0,13237.3649,4,7
2,1,Late delivery,1,Caguas,Puerto Rico,725.0,18.24845696,-66.03705597,Pacific Asia,Solapur,India,South Asia,Maharashtra,PROCESSING,Smart watch ,327.75,First Class,2018-01-11,06:51:00,2018-01-13,06:51:00,2,On time,17.68,75.92,14247.941763111963,0.5,7123.9709,2,4
6,4,Late delivery,1,Irvington,EE. UU.,7111.0,40.73097992,-74.22322846,Pacific Asia,Solapur,India,South Asia,Maharashtra,COMPLETE,Smart watch ,327.75,Standard Class,2018-01-11,06:30:00,2018-01-17,06:30:00,6,Delayed,17.68,75.92,12825.264606013328,1.0,12825.2646,3,9
5,4,Late delivery,1,Caguas,Puerto Rico,725.0,18.21602821,-66.0370636,Pacific Asia,Solapur,India,South Asia,Maharashtra,PENDING_PAYMENT,Smart watch ,327.75,Standard Class,2018-01-11,06:09:00,2018-01-16,06:09:00,5,Delayed,17.68,75.92,14250.341353630709,1.0,14250.3414,4,9
3,4,Advance shipping,0,Caguas,Puerto Rico,725.0,18.20436859,-66.0370636,Pacific Asia,Pune,India,South Asia,Maharashtra,PROCESSING,Smart watch ,327.75,Standard Class,2018-01-11,00:12:00,2018-01-14,00:12:00,3,On time,18.5203,73.8567,14025.713115634346,1.0,14025.7131,4,7
1,0,Late delivery,1,Caguas,Puerto Rico,725.0,18.26806831,-66.0370636,Pacific Asia,Delhi,India,South Asia,Delhi,PENDING_PAYMENT,Smart watch ,327.75,Same Day,2018-01-10,17:11:00,2018-01-11,05:11:00,1,On time,28.61,77.23,13476.745096852594,0.0,0.0,1,2
2,4,Advance shipping,0,Gilroy,EE. UU.,95020.0,37.01370621,-121.5893478,Pacific Asia,Patna,India,South Asia,Bihar,PENDING_PAYMENT,Smart watch ,327.75,Standard Class,2017-12-04,20:13:00,2017-12-06,20:13:00,2,On time,25.594,85.1376,12512.580773198502,1.0,12512.5808,3,5
